Node1,Node2,X0,Y0,Z0,X1,Y1,Z1
devil.n.02,evil_spirit.n.01,0.7088755051666427,-2.7073174113061063,10,-0.8522949084865201,-0.78563075769048,9
incubus.n.01,devil.n.02,-0.38682714578510424,-0.6216432831247156,11,0.7088755051666427,-2.7073174113061063,10
succubus.n.01,devil.n.02,3.8287172977122985,-7.882087836584119,11,0.7088755051666427,-2.7073174113061063,10
dybbuk.n.01,devil.n.02,-0.2320438154006974,-1.274727499330865,11,0.7088755051666427,-2.7073174113061063,10
monster.n.04,unpleasant_person.n.01,-0.24007064847039628,-2.2998825338259428,7,-0.5109914105309312,-1.0825653929376822,6
demoniac.n.01,monster.n.04,-1.1880473725922591,-3.025587083965612,8,-0.24007064847039628,-2.2998825338259428,7
demon.n.03,actor.n.02,-6.339348900263591,-1.3177120067601789,6,-5.737430366977833,-4.138342299706519,5
