Label,X,Y,Z,HoverText
blasphemy.n.01,-4.356303971509055,2.9598141081687066,6,blasphemy.n.01: blasphemous language (expressing disrespect for God or for something sacred)
disrespect.n.01,-5.40842033383099,7.145587792291291,5,disrespect.n.01: an expression of lack of respect
profanity.n.01,2.5212344501879977,2.3591555625462326,6,profanity.n.01: vulgar or irreverent speech or action
profanation.n.01,-4.570823335897687,-1.4300807886283389,11,profanation.n.01: blasphemous behavior; the act of depriving something of its sacred character
irreverence.n.02,-1.7408823225267194,-1.653122723592696,10,irreverence.n.02: a disrespectful act
