Node1,Node2,X0,Y0,Z0,X1,Y1,Z1
heathen.n.01,nonreligious_person.n.01,0.4672333594235132,5.364676548887845,9,-10.265226762747451,8.813344471372982,8
paynim.n.01,heathen.n.01,8.717571488258441,7.97335185319404,10,0.4672333594235132,5.364676548887845,9
idolater.n.01,heathen.n.01,8.750551201203525,8.273596422799812,10,0.4672333594235132,5.364676548887845,9
pagan.n.02,religious_person.n.01,8.951076751832414,2.7886079999771205,9,-9.887671328505892,7.822353085539999,8
wiccan.n.01,pagan.n.02,8.354369673455711,7.77513726737272,10,8.951076751832414,2.7886079999771205,9
hedonist.n.01,sensualist.n.01,9.014738043124975,8.423515490954477,9,-9.74669399390903,8.684134687666152,8
playboy.n.01,hedonist.n.01,7.556223297815896,5.474419467720034,10,9.014738043124975,8.423515490954477,9
